video_id,label,source,dataset,method,skip_frames,n_detected_frames,target_frames,feat_shape,video_path
celebdf_real_00095,0,CelebDF,CelebDF,real,8,61,64,"[64, 30]",YouTube-real/00095.mp4
celebdf_real_00096,0,CelebDF,CelebDF,real,5,61,64,"[64, 30]",YouTube-real/00096.mp4
celebdf_real_00097,0,CelebDF,CelebDF,real,8,63,64,"[64, 30]",YouTube-real/00097.mp4
celebdf_real_00098,0,CelebDF,CelebDF,real,7,65,64,"[64, 30]",YouTube-real/00098.mp4
celebdf_real_00099,0,CelebDF,CelebDF,real,8,62,64,"[64, 30]",YouTube-real/00099.mp4
celebdf_real_00100,0,CelebDF,CelebDF,real,8,67,64,"[64, 30]",YouTube-real/00100.mp4
celebdf_real_00101,0,CelebDF,CelebDF,real,7,63,64,"[64, 30]",YouTube-real/00101.mp4
celebdf_real_00102,0,CelebDF,CelebDF,real,7,66,64,"[64, 30]",YouTube-real/00102.mp4
celebdf_real_00103,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00103.mp4
celebdf_real_00104,0,CelebDF,CelebDF,real,8,63,64,"[64, 30]",YouTube-real/00104.mp4
celebdf_real_00105,0,CelebDF,CelebDF,real,8,63,64,"[64, 30]",YouTube-real/00105.mp4
celebdf_real_00106,0,CelebDF,CelebDF,real,5,66,64,"[64, 30]",YouTube-real/00106.mp4
celebdf_real_00107,0,CelebDF,CelebDF,real,7,66,64,"[64, 30]",YouTube-real/00107.mp4
celebdf_real_00108,0,CelebDF,CelebDF,real,7,69,64,"[64, 30]",YouTube-real/00108.mp4
celebdf_real_00109,0,CelebDF,CelebDF,real,4,66,64,"[64, 30]",YouTube-real/00109.mp4
celebdf_real_00110,0,CelebDF,CelebDF,real,7,69,64,"[64, 30]",YouTube-real/00110.mp4
celebdf_real_00111,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00111.mp4
celebdf_real_00112,0,CelebDF,CelebDF,real,7,69,64,"[64, 30]",YouTube-real/00112.mp4
celebdf_real_00113,0,CelebDF,CelebDF,real,8,63,64,"[64, 30]",YouTube-real/00113.mp4
celebdf_real_00114,0,CelebDF,CelebDF,real,5,68,64,"[64, 30]",YouTube-real/00114.mp4
celebdf_real_00115,0,CelebDF,CelebDF,real,5,63,64,"[64, 30]",YouTube-real/00115.mp4
celebdf_real_00116,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00116.mp4
celebdf_real_00117,0,CelebDF,CelebDF,real,7,66,64,"[64, 30]",YouTube-real/00117.mp4
celebdf_real_00118,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00118.mp4
celebdf_real_00119,0,CelebDF,CelebDF,real,7,61,64,"[64, 30]",YouTube-real/00119.mp4
celebdf_real_00120,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00120.mp4
celebdf_real_00121,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00121.mp4
celebdf_real_00122,0,CelebDF,CelebDF,real,6,61,64,"[64, 30]",YouTube-real/00122.mp4
celebdf_real_00123,0,CelebDF,CelebDF,real,5,61,64,"[64, 30]",YouTube-real/00123.mp4
celebdf_real_00124,0,CelebDF,CelebDF,real,7,61,64,"[64, 30]",YouTube-real/00124.mp4
celebdf_real_00125,0,CelebDF,CelebDF,real,4,70,64,"[64, 30]",YouTube-real/00125.mp4
celebdf_real_00126,0,CelebDF,CelebDF,real,7,65,64,"[64, 30]",YouTube-real/00126.mp4
celebdf_real_00127,0,CelebDF,CelebDF,real,8,61,64,"[64, 30]",YouTube-real/00127.mp4
celebdf_real_00128,0,CelebDF,CelebDF,real,7,66,64,"[64, 30]",YouTube-real/00128.mp4
celebdf_real_00129,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00129.mp4
celebdf_real_00130,0,CelebDF,CelebDF,real,6,67,64,"[64, 30]",YouTube-real/00130.mp4
celebdf_real_00131,0,CelebDF,CelebDF,real,6,60,64,"[64, 30]",YouTube-real/00131.mp4
celebdf_real_00132,0,CelebDF,CelebDF,real,5,70,64,"[64, 30]",YouTube-real/00132.mp4
celebdf_real_00133,0,CelebDF,CelebDF,real,8,63,64,"[64, 30]",YouTube-real/00133.mp4
celebdf_real_00134,0,CelebDF,CelebDF,real,8,61,64,"[64, 30]",YouTube-real/00134.mp4
celebdf_real_00135,0,CelebDF,CelebDF,real,6,59,64,"[64, 30]",YouTube-real/00135.mp4
celebdf_real_00136,0,CelebDF,CelebDF,real,5,59,64,"[64, 30]",YouTube-real/00136.mp4
celebdf_real_00137,0,CelebDF,CelebDF,real,6,59,64,"[64, 30]",YouTube-real/00137.mp4
celebdf_real_00138,0,CelebDF,CelebDF,real,8,61,64,"[64, 30]",YouTube-real/00138.mp4
celebdf_real_00139,0,CelebDF,CelebDF,real,9,62,64,"[64, 30]",YouTube-real/00139.mp4
celebdf_real_00140,0,CelebDF,CelebDF,real,6,64,64,"[64, 30]",YouTube-real/00140.mp4
celebdf_real_00141,0,CelebDF,CelebDF,real,7,64,64,"[64, 30]",YouTube-real/00141.mp4
celebdf_real_00142,0,CelebDF,CelebDF,real,7,65,64,"[64, 30]",YouTube-real/00142.mp4
celebdf_real_00143,0,CelebDF,CelebDF,real,7,66,64,"[64, 30]",YouTube-real/00143.mp4
celebdf_real_00144,0,CelebDF,CelebDF,real,7,65,64,"[64, 30]",YouTube-real/00144.mp4
celebdf_real_00145,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00145.mp4
celebdf_real_00146,0,CelebDF,CelebDF,real,11,66,64,"[64, 30]",YouTube-real/00146.mp4
celebdf_real_00147,0,CelebDF,CelebDF,real,8,65,64,"[64, 30]",YouTube-real/00147.mp4
celebdf_real_00148,0,CelebDF,CelebDF,real,7,66,64,"[64, 30]",YouTube-real/00148.mp4
celebdf_real_00149,0,CelebDF,CelebDF,real,8,64,64,"[64, 30]",YouTube-real/00149.mp4
celebdf_real_00150,0,CelebDF,CelebDF,real,7,66,64,"[64, 30]",YouTube-real/00150.mp4
celebdf_real_00151,0,CelebDF,CelebDF,real,8,63,64,"[64, 30]",YouTube-real/00151.mp4
celebdf_real_00152,0,CelebDF,CelebDF,real,11,64,64,"[64, 30]",YouTube-real/00152.mp4
celebdf_real_00153,0,CelebDF,CelebDF,real,8,61,64,"[64, 30]",YouTube-real/00153.mp4
celebdf_real_00154,0,CelebDF,CelebDF,real,6,63,64,"[64, 30]",YouTube-real/00154.mp4
celebdf_real_00155,0,CelebDF,CelebDF,real,9,64,64,"[64, 30]",YouTube-real/00155.mp4
celebdf_real_00156,0,CelebDF,CelebDF,real,7,64,64,"[64, 30]",YouTube-real/00156.mp4
celebdf_real_00157,0,CelebDF,CelebDF,real,7,65,64,"[64, 30]",YouTube-real/00157.mp4
celebdf_real_00158,0,CelebDF,CelebDF,real,7,65,64,"[64, 30]",YouTube-real/00158.mp4
celebdf_real_00159,0,CelebDF,CelebDF,real,7,64,64,"[64, 30]",YouTube-real/00159.mp4
celebdf_real_00160,0,CelebDF,CelebDF,real,8,62,64,"[64, 30]",YouTube-real/00160.mp4
celebdf_real_00161,0,CelebDF,CelebDF,real,8,65,64,"[64, 30]",YouTube-real/00161.mp4
celebdf_real_00162,0,CelebDF,CelebDF,real,7,64,64,"[64, 30]",YouTube-real/00162.mp4
celebdf_real_00163,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00163.mp4
celebdf_real_00164,0,CelebDF,CelebDF,real,8,66,64,"[64, 30]",YouTube-real/00164.mp4
celebdf_real_00165,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00165.mp4
celebdf_real_00166,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00166.mp4
celebdf_real_00167,0,CelebDF,CelebDF,real,7,69,64,"[64, 30]",YouTube-real/00167.mp4
celebdf_real_00168,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00168.mp4
celebdf_real_00169,0,CelebDF,CelebDF,real,7,62,64,"[64, 30]",YouTube-real/00169.mp4
celebdf_real_00170,0,CelebDF,CelebDF,real,5,70,64,"[64, 30]",YouTube-real/00170.mp4
celebdf_real_00171,0,CelebDF,CelebDF,real,7,63,64,"[64, 30]",YouTube-real/00171.mp4
celebdf_real_00172,0,CelebDF,CelebDF,real,6,59,64,"[64, 30]",YouTube-real/00172.mp4
celebdf_real_00173,0,CelebDF,CelebDF,real,8,63,64,"[64, 30]",YouTube-real/00173.mp4
celebdf_real_00174,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00174.mp4
celebdf_real_00175,0,CelebDF,CelebDF,real,8,61,64,"[64, 30]",YouTube-real/00175.mp4
celebdf_real_00176,0,CelebDF,CelebDF,real,9,68,64,"[64, 30]",YouTube-real/00176.mp4
celebdf_real_00177,0,CelebDF,CelebDF,real,8,66,64,"[64, 30]",YouTube-real/00177.mp4
celebdf_real_00178,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00178.mp4
celebdf_real_00179,0,CelebDF,CelebDF,real,7,65,64,"[64, 30]",YouTube-real/00179.mp4
celebdf_real_00180,0,CelebDF,CelebDF,real,5,70,64,"[64, 30]",YouTube-real/00180.mp4
celebdf_real_00181,0,CelebDF,CelebDF,real,6,66,64,"[64, 30]",YouTube-real/00181.mp4
celebdf_real_00182,0,CelebDF,CelebDF,real,7,69,64,"[64, 30]",YouTube-real/00182.mp4
celebdf_real_00183,0,CelebDF,CelebDF,real,8,65,64,"[64, 30]",YouTube-real/00183.mp4
celebdf_real_00184,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00184.mp4
celebdf_real_00185,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00185.mp4
celebdf_real_00186,0,CelebDF,CelebDF,real,8,64,64,"[64, 30]",YouTube-real/00186.mp4
celebdf_real_00187,0,CelebDF,CelebDF,real,7,66,64,"[64, 30]",YouTube-real/00187.mp4
celebdf_real_00188,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00188.mp4
celebdf_real_00189,0,CelebDF,CelebDF,real,6,69,64,"[64, 30]",YouTube-real/00189.mp4
celebdf_real_00190,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00190.mp4
celebdf_real_00191,0,CelebDF,CelebDF,real,7,64,64,"[64, 30]",YouTube-real/00191.mp4
celebdf_real_00192,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00192.mp4
celebdf_real_00193,0,CelebDF,CelebDF,real,6,59,64,"[64, 30]",YouTube-real/00193.mp4
celebdf_real_00194,0,CelebDF,CelebDF,real,7,66,64,"[64, 30]",YouTube-real/00194.mp4
celebdf_real_00195,0,CelebDF,CelebDF,real,8,62,64,"[64, 30]",YouTube-real/00195.mp4
celebdf_real_00196,0,CelebDF,CelebDF,real,8,60,64,"[64, 30]",YouTube-real/00196.mp4
celebdf_real_00197,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00197.mp4
celebdf_real_00198,0,CelebDF,CelebDF,real,7,66,64,"[64, 30]",YouTube-real/00198.mp4
celebdf_real_00199,0,CelebDF,CelebDF,real,8,60,64,"[64, 30]",YouTube-real/00199.mp4
celebdf_real_00200,0,CelebDF,CelebDF,real,7,66,64,"[64, 30]",YouTube-real/00200.mp4
celebdf_real_00201,0,CelebDF,CelebDF,real,7,66,64,"[64, 30]",YouTube-real/00201.mp4
celebdf_real_00202,0,CelebDF,CelebDF,real,8,63,64,"[64, 30]",YouTube-real/00202.mp4
celebdf_real_00203,0,CelebDF,CelebDF,real,5,62,64,"[64, 30]",YouTube-real/00203.mp4
celebdf_real_00204,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00204.mp4
celebdf_real_00205,0,CelebDF,CelebDF,real,7,65,64,"[64, 30]",YouTube-real/00205.mp4
celebdf_real_00206,0,CelebDF,CelebDF,real,7,65,64,"[64, 30]",YouTube-real/00206.mp4
celebdf_real_00207,0,CelebDF,CelebDF,real,2,63,64,"[64, 30]",YouTube-real/00207.mp4
celebdf_real_00208,0,CelebDF,CelebDF,real,7,66,64,"[64, 30]",YouTube-real/00208.mp4
celebdf_real_00209,0,CelebDF,CelebDF,real,7,66,64,"[64, 30]",YouTube-real/00209.mp4
celebdf_real_00210,0,CelebDF,CelebDF,real,10,62,64,"[64, 30]",YouTube-real/00210.mp4
celebdf_real_00211,0,CelebDF,CelebDF,real,7,61,64,"[64, 30]",YouTube-real/00211.mp4
celebdf_real_00212,0,CelebDF,CelebDF,real,6,69,64,"[64, 30]",YouTube-real/00212.mp4
celebdf_real_00213,0,CelebDF,CelebDF,real,7,66,64,"[64, 30]",YouTube-real/00213.mp4
celebdf_real_00214,0,CelebDF,CelebDF,real,7,64,64,"[64, 30]",YouTube-real/00214.mp4
celebdf_real_00215,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00215.mp4
celebdf_real_00216,0,CelebDF,CelebDF,real,6,64,64,"[64, 30]",YouTube-real/00216.mp4
celebdf_real_00217,0,CelebDF,CelebDF,real,5,65,64,"[64, 30]",YouTube-real/00217.mp4
celebdf_real_00218,0,CelebDF,CelebDF,real,7,69,64,"[64, 30]",YouTube-real/00218.mp4
celebdf_real_00219,0,CelebDF,CelebDF,real,8,61,64,"[64, 30]",YouTube-real/00219.mp4
celebdf_real_00220,0,CelebDF,CelebDF,real,8,66,64,"[64, 30]",YouTube-real/00220.mp4
celebdf_real_00221,0,CelebDF,CelebDF,real,7,64,64,"[64, 30]",YouTube-real/00221.mp4
celebdf_real_00222,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00222.mp4
celebdf_real_00223,0,CelebDF,CelebDF,real,8,60,64,"[64, 30]",YouTube-real/00223.mp4
celebdf_real_00224,0,CelebDF,CelebDF,real,7,62,64,"[64, 30]",YouTube-real/00224.mp4
celebdf_real_00225,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00225.mp4
celebdf_real_00226,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00226.mp4
celebdf_real_00227,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00227.mp4
celebdf_real_00228,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00228.mp4
celebdf_real_00229,0,CelebDF,CelebDF,real,8,67,64,"[64, 30]",YouTube-real/00229.mp4
celebdf_real_00230,0,CelebDF,CelebDF,real,7,65,64,"[64, 30]",YouTube-real/00230.mp4
celebdf_real_00231,0,CelebDF,CelebDF,real,7,69,64,"[64, 30]",YouTube-real/00231.mp4
celebdf_real_00232,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00232.mp4
celebdf_real_00233,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00233.mp4
celebdf_real_00234,0,CelebDF,CelebDF,real,6,61,64,"[64, 30]",YouTube-real/00234.mp4
celebdf_real_00235,0,CelebDF,CelebDF,real,8,62,64,"[64, 30]",YouTube-real/00235.mp4
celebdf_real_00236,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00236.mp4
celebdf_real_00237,0,CelebDF,CelebDF,real,7,66,64,"[64, 30]",YouTube-real/00237.mp4
celebdf_real_00238,0,CelebDF,CelebDF,real,7,61,64,"[64, 30]",YouTube-real/00238.mp4
celebdf_real_00239,0,CelebDF,CelebDF,real,8,62,64,"[64, 30]",YouTube-real/00239.mp4
celebdf_real_00240,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00240.mp4
celebdf_real_00241,0,CelebDF,CelebDF,real,7,64,64,"[64, 30]",YouTube-real/00241.mp4
celebdf_real_00242,0,CelebDF,CelebDF,real,7,64,64,"[64, 30]",YouTube-real/00242.mp4
celebdf_real_00243,0,CelebDF,CelebDF,real,7,66,64,"[64, 30]",YouTube-real/00243.mp4
celebdf_real_00244,0,CelebDF,CelebDF,real,5,58,64,"[64, 30]",YouTube-real/00244.mp4
celebdf_real_00245,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00245.mp4
celebdf_real_00246,0,CelebDF,CelebDF,real,7,65,64,"[64, 30]",YouTube-real/00246.mp4
celebdf_real_00247,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00247.mp4
celebdf_real_00248,0,CelebDF,CelebDF,real,8,60,64,"[64, 30]",YouTube-real/00248.mp4
celebdf_real_00249,0,CelebDF,CelebDF,real,8,65,64,"[64, 30]",YouTube-real/00249.mp4
celebdf_real_00250,0,CelebDF,CelebDF,real,5,60,64,"[64, 30]",YouTube-real/00250.mp4
celebdf_real_00251,0,CelebDF,CelebDF,real,5,64,64,"[64, 30]",YouTube-real/00251.mp4
celebdf_real_00252,0,CelebDF,CelebDF,real,5,63,64,"[64, 30]",YouTube-real/00252.mp4
celebdf_real_00253,0,CelebDF,CelebDF,real,4,66,64,"[64, 30]",YouTube-real/00253.mp4
celebdf_real_00254,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00254.mp4
celebdf_real_00255,0,CelebDF,CelebDF,real,5,64,64,"[64, 30]",YouTube-real/00255.mp4
celebdf_real_00256,0,CelebDF,CelebDF,real,5,65,64,"[64, 30]",YouTube-real/00256.mp4
