sample_id,npy_path,meta_path,emotion,text,label
vid_000037_24__exit_phone_room,data\processed\vid_000037_24__exit_phone_room\au_sequence.npy,data\processed\vid_000037_24__exit_phone_room\meta.json,,,0
vid_000038_24__walk_down_hall_angry,data\processed\vid_000038_24__walk_down_hall_angry\au_sequence.npy,data\processed\vid_000038_24__walk_down_hall_angry\meta.json,angry,,0
vid_000039_14__kitchen_pan,data\processed\vid_000039_14__kitchen_pan\au_sequence.npy,data\processed\vid_000039_14__kitchen_pan\meta.json,,,0
vid_000040_24__walking_down_street_outside_angry,data\processed\vid_000040_24__walking_down_street_outside_angry\au_sequence.npy,data\processed\vid_000040_24__walking_down_street_outside_angry\meta.json,angry,,0
vid_000041_27__exit_phone_room,data\processed\vid_000041_27__exit_phone_room\au_sequence.npy,data\processed\vid_000041_27__exit_phone_room\meta.json,,,0
vid_000042_06__podium_speech_happy,data\processed\vid_000042_06__podium_speech_happy\au_sequence.npy,data\processed\vid_000042_06__podium_speech_happy\meta.json,happy,,0
vid_000043_28__outside_talking_still_laughing,data\processed\vid_000043_28__outside_talking_still_laughing\au_sequence.npy,data\processed\vid_000043_28__outside_talking_still_laughing\meta.json,,,0
vid_000044_15__walking_and_outside_surprised,data\processed\vid_000044_15__walking_and_outside_surprised\au_sequence.npy,data\processed\vid_000044_15__walking_and_outside_surprised\meta.json,surprise,,0
vid_000045_23__kitchen_still,data\processed\vid_000045_23__kitchen_still\au_sequence.npy,data\processed\vid_000045_23__kitchen_still\meta.json,,,0
vid_000046_17__outside_talking_pan_laughing,data\processed\vid_000046_17__outside_talking_pan_laughing\au_sequence.npy,data\processed\vid_000046_17__outside_talking_pan_laughing\meta.json,,,0
vid_000047_14__podium_speech_happy,data\processed\vid_000047_14__podium_speech_happy\au_sequence.npy,data\processed\vid_000047_14__podium_speech_happy\meta.json,happy,,0
vid_000048_19__secret_conversation,data\processed\vid_000048_19__secret_conversation\au_sequence.npy,data\processed\vid_000048_19__secret_conversation\meta.json,,,0
vid_000049_21__walking_down_indoor_hall_disgust,data\processed\vid_000049_21__walking_down_indoor_hall_disgust\au_sequence.npy,data\processed\vid_000049_21__walking_down_indoor_hall_disgust\meta.json,disgust,,0
vid_000050_07__outside_talking_still_laughing,data\processed\vid_000050_07__outside_talking_still_laughing\au_sequence.npy,data\processed\vid_000050_07__outside_talking_still_laughing\meta.json,,,0
vid_000051_28__exit_phone_room,data\processed\vid_000051_28__exit_phone_room\au_sequence.npy,data\processed\vid_000051_28__exit_phone_room\meta.json,,,0
vid_000052_19__outside_talking_pan_laughing,data\processed\vid_000052_19__outside_talking_pan_laughing\au_sequence.npy,data\processed\vid_000052_19__outside_talking_pan_laughing\meta.json,,,0
vid_000053_28__walk_down_hall_angry,data\processed\vid_000053_28__walk_down_hall_angry\au_sequence.npy,data\processed\vid_000053_28__walk_down_hall_angry\meta.json,angry,,0
vid_000054_28__kitchen_still,data\processed\vid_000054_28__kitchen_still\au_sequence.npy,data\processed\vid_000054_28__kitchen_still\meta.json,,,0
vid_000055_19__kitchen_pan,data\processed\vid_000055_19__kitchen_pan\au_sequence.npy,data\processed\vid_000055_19__kitchen_pan\meta.json,,,0
vid_000056_21__kitchen_pan,data\processed\vid_000056_21__kitchen_pan\au_sequence.npy,data\processed\vid_000056_21__kitchen_pan\meta.json,,,0
vid_000057_09__podium_speech_happy,data\processed\vid_000057_09__podium_speech_happy\au_sequence.npy,data\processed\vid_000057_09__podium_speech_happy\meta.json,happy,,0
vid_000058_06__kitchen_still,data\processed\vid_000058_06__kitchen_still\au_sequence.npy,data\processed\vid_000058_06__kitchen_still\meta.json,,,0
vid_000059_07__walking_down_street_outside_angry,data\processed\vid_000059_07__walking_down_street_outside_angry\au_sequence.npy,data\processed\vid_000059_07__walking_down_street_outside_angry\meta.json,angry,,0
vid_000060_09__exit_phone_room,data\processed\vid_000060_09__exit_phone_room\au_sequence.npy,data\processed\vid_000060_09__exit_phone_room\meta.json,,,0
vid_000061_22__walking_down_indoor_hall_disgust,data\processed\vid_000061_22__walking_down_indoor_hall_disgust\au_sequence.npy,data\processed\vid_000061_22__walking_down_indoor_hall_disgust\meta.json,disgust,,0
vid_000062_01__outside_talking_still_laughing,data\processed\vid_000062_01__outside_talking_still_laughing\au_sequence.npy,data\processed\vid_000062_01__outside_talking_still_laughing\meta.json,,,0
vid_000063_23__walking_down_indoor_hall_disgust,data\processed\vid_000063_23__walking_down_indoor_hall_disgust\au_sequence.npy,data\processed\vid_000063_23__walking_down_indoor_hall_disgust\meta.json,disgust,,0
vid_000064_13__exit_phone_room,data\processed\vid_000064_13__exit_phone_room\au_sequence.npy,data\processed\vid_000064_13__exit_phone_room\meta.json,,,0
vid_000065_12__kitchen_pan,data\processed\vid_000065_12__kitchen_pan\au_sequence.npy,data\processed\vid_000065_12__kitchen_pan\meta.json,,,0
vid_000066_16__podium_speech_happy,data\processed\vid_000066_16__podium_speech_happy\au_sequence.npy,data\processed\vid_000066_16__podium_speech_happy\meta.json,happy,,0
vid_000067_04__walking_down_street_outside_angry,data\processed\vid_000067_04__walking_down_street_outside_angry\au_sequence.npy,data\processed\vid_000067_04__walking_down_street_outside_angry\meta.json,angry,,0
vid_000068_16__hugging_happy,data\processed\vid_000068_16__hugging_happy\au_sequence.npy,data\processed\vid_000068_16__hugging_happy\meta.json,happy,,0
vid_000069_23__talking_against_wall,data\processed\vid_000069_23__talking_against_wall\au_sequence.npy,data\processed\vid_000069_23__talking_against_wall\meta.json,,,0
vid_000070_17__outside_talking_still_laughing,data\processed\vid_000070_17__outside_talking_still_laughing\au_sequence.npy,data\processed\vid_000070_17__outside_talking_still_laughing\meta.json,,,0
vid_000071_01__walking_down_street_outside_angry,data\processed\vid_000071_01__walking_down_street_outside_angry\au_sequence.npy,data\processed\vid_000071_01__walking_down_street_outside_angry\meta.json,angry,,0
vid_000072_02__walking_and_outside_surprised,data\processed\vid_000072_02__walking_and_outside_surprised\au_sequence.npy,data\processed\vid_000072_02__walking_and_outside_surprised\meta.json,surprise,,0
vid_000073_15__outside_talking_pan_laughing,data\processed\vid_000073_15__outside_talking_pan_laughing\au_sequence.npy,data\processed\vid_000073_15__outside_talking_pan_laughing\meta.json,,,0
vid_000074_12__talking_against_wall,data\processed\vid_000074_12__talking_against_wall\au_sequence.npy,data\processed\vid_000074_12__talking_against_wall\meta.json,,,0
vid_000075_12__walking_and_outside_surprised,data\processed\vid_000075_12__walking_and_outside_surprised\au_sequence.npy,data\processed\vid_000075_12__walking_and_outside_surprised\meta.json,surprise,,0
vid_000076_22__exit_phone_room,data\processed\vid_000076_22__exit_phone_room\au_sequence.npy,data\processed\vid_000076_22__exit_phone_room\meta.json,,,0
vid_000077_07__hugging_happy,data\processed\vid_000077_07__hugging_happy\au_sequence.npy,data\processed\vid_000077_07__hugging_happy\meta.json,happy,,0
vid_000078_09__talking_against_wall,data\processed\vid_000078_09__talking_against_wall\au_sequence.npy,data\processed\vid_000078_09__talking_against_wall\meta.json,,,0
vid_000079_25__exit_phone_room,data\processed\vid_000079_25__exit_phone_room\au_sequence.npy,data\processed\vid_000079_25__exit_phone_room\meta.json,,,0
vid_000080_06__hugging_happy,data\processed\vid_000080_06__hugging_happy\au_sequence.npy,data\processed\vid_000080_06__hugging_happy\meta.json,happy,,0
vid_000081_18__talking_against_wall,data\processed\vid_000081_18__talking_against_wall\au_sequence.npy,data\processed\vid_000081_18__talking_against_wall\meta.json,,,0
vid_000082_26__outside_talking_still_laughing,data\processed\vid_000082_26__outside_talking_still_laughing\au_sequence.npy,data\processed\vid_000082_26__outside_talking_still_laughing\meta.json,,,0
vid_000083_11__outside_talking_pan_laughing,data\processed\vid_000083_11__outside_talking_pan_laughing\au_sequence.npy,data\processed\vid_000083_11__outside_talking_pan_laughing\meta.json,,,0
vid_000084_20__exit_phone_room,data\processed\vid_000084_20__exit_phone_room\au_sequence.npy,data\processed\vid_000084_20__exit_phone_room\meta.json,,,0
vid_000085_26__secret_conversation,data\processed\vid_000085_26__secret_conversation\au_sequence.npy,data\processed\vid_000085_26__secret_conversation\meta.json,,,0
vid_000086_10__talking_angry_couch,data\processed\vid_000086_10__talking_angry_couch\au_sequence.npy,data\processed\vid_000086_10__talking_angry_couch\meta.json,angry,,0
vid_000087_10__walk_down_hall_angry,data\processed\vid_000087_10__walk_down_hall_angry\au_sequence.npy,data\processed\vid_000087_10__walk_down_hall_angry\meta.json,angry,,0
vid_000088_16__walking_outside_cafe_disgusted,data\processed\vid_000088_16__walking_outside_cafe_disgusted\au_sequence.npy,data\processed\vid_000088_16__walking_outside_cafe_disgusted\meta.json,disgust,,0
vid_000089_14__walk_down_hall_angry,data\processed\vid_000089_14__walk_down_hall_angry\au_sequence.npy,data\processed\vid_000089_14__walk_down_hall_angry\meta.json,angry,,0
vid_000090_24__podium_speech_happy,data\processed\vid_000090_24__podium_speech_happy\au_sequence.npy,data\processed\vid_000090_24__podium_speech_happy\meta.json,happy,,0
vid_000091_13__podium_speech_happy,data\processed\vid_000091_13__podium_speech_happy\au_sequence.npy,data\processed\vid_000091_13__podium_speech_happy\meta.json,happy,,0
vid_000092_02__walking_down_indoor_hall_disgust,data\processed\vid_000092_02__walking_down_indoor_hall_disgust\au_sequence.npy,data\processed\vid_000092_02__walking_down_indoor_hall_disgust\meta.json,disgust,,0
vid_000093_13__outside_talking_still_laughing,data\processed\vid_000093_13__outside_talking_still_laughing\au_sequence.npy,data\processed\vid_000093_13__outside_talking_still_laughing\meta.json,,,0
vid_000094_19__talking_against_wall,data\processed\vid_000094_19__talking_against_wall\au_sequence.npy,data\processed\vid_000094_19__talking_against_wall\meta.json,,,0
vid_000095_13__talking_angry_couch,data\processed\vid_000095_13__talking_angry_couch\au_sequence.npy,data\processed\vid_000095_13__talking_angry_couch\meta.json,angry,,0
vid_000097_21__talking_against_wall,data\processed\vid_000097_21__talking_against_wall\au_sequence.npy,data\processed\vid_000097_21__talking_against_wall\meta.json,,,0
vid_000098_21__podium_speech_happy,data\processed\vid_000098_21__podium_speech_happy\au_sequence.npy,data\processed\vid_000098_21__podium_speech_happy\meta.json,happy,,0
vid_000099_07__kitchen_pan,data\processed\vid_000099_07__kitchen_pan\au_sequence.npy,data\processed\vid_000099_07__kitchen_pan\meta.json,,,0
vid_000100_06__kitchen_pan,data\processed\vid_000100_06__kitchen_pan\au_sequence.npy,data\processed\vid_000100_06__kitchen_pan\meta.json,,,0
vid_000101_20__walking_down_street_outside_angry,data\processed\vid_000101_20__walking_down_street_outside_angry\au_sequence.npy,data\processed\vid_000101_20__walking_down_street_outside_angry\meta.json,angry,,0
vid_000102_11__talking_angry_couch,data\processed\vid_000102_11__talking_angry_couch\au_sequence.npy,data\processed\vid_000102_11__talking_angry_couch\meta.json,angry,,0
vid_000103_18__secret_conversation,data\processed\vid_000103_18__secret_conversation\au_sequence.npy,data\processed\vid_000103_18__secret_conversation\meta.json,,,0
vid_000104_18__podium_speech_happy,data\processed\vid_000104_18__podium_speech_happy\au_sequence.npy,data\processed\vid_000104_18__podium_speech_happy\meta.json,happy,,0
vid_000105_03__walking_outside_cafe_disgusted,data\processed\vid_000105_03__walking_outside_cafe_disgusted\au_sequence.npy,data\processed\vid_000105_03__walking_outside_cafe_disgusted\meta.json,disgust,,0
vid_000106_20__secret_conversation,data\processed\vid_000106_20__secret_conversation\au_sequence.npy,data\processed\vid_000106_20__secret_conversation\meta.json,,,0
vid_000107_20__outside_talking_pan_laughing,data\processed\vid_000107_20__outside_talking_pan_laughing\au_sequence.npy,data\processed\vid_000107_20__outside_talking_pan_laughing\meta.json,,,0
vid_000108_09__outside_talking_still_laughing,data\processed\vid_000108_09__outside_talking_still_laughing\au_sequence.npy,data\processed\vid_000108_09__outside_talking_still_laughing\meta.json,,,0
vid_000109_12__talking_angry_couch,data\processed\vid_000109_12__talking_angry_couch\au_sequence.npy,data\processed\vid_000109_12__talking_angry_couch\meta.json,angry,,0
vid_000110_21__walking_down_street_outside_angry,data\processed\vid_000110_21__walking_down_street_outside_angry\au_sequence.npy,data\processed\vid_000110_21__walking_down_street_outside_angry\meta.json,angry,,0
vid_000111_06__talking_angry_couch,data\processed\vid_000111_06__talking_angry_couch\au_sequence.npy,data\processed\vid_000111_06__talking_angry_couch\meta.json,angry,,0
vid_000112_24__talking_against_wall,data\processed\vid_000112_24__talking_against_wall\au_sequence.npy,data\processed\vid_000112_24__talking_against_wall\meta.json,,,0
vid_000113_25__walking_down_street_outside_angry,data\processed\vid_000113_25__walking_down_street_outside_angry\au_sequence.npy,data\processed\vid_000113_25__walking_down_street_outside_angry\meta.json,angry,,0
vid_000114_06__talking_against_wall,data\processed\vid_000114_06__talking_against_wall\au_sequence.npy,data\processed\vid_000114_06__talking_against_wall\meta.json,,,0
vid_000115_16__talking_against_wall,data\processed\vid_000115_16__talking_against_wall\au_sequence.npy,data\processed\vid_000115_16__talking_against_wall\meta.json,,,0
vid_000116_20__walk_down_hall_angry,data\processed\vid_000116_20__walk_down_hall_angry\au_sequence.npy,data\processed\vid_000116_20__walk_down_hall_angry\meta.json,angry,,0
vid_000117_19__podium_speech_happy,data\processed\vid_000117_19__podium_speech_happy\au_sequence.npy,data\processed\vid_000117_19__podium_speech_happy\meta.json,happy,,0
vid_000118_13__walking_down_indoor_hall_disgust,data\processed\vid_000118_13__walking_down_indoor_hall_disgust\au_sequence.npy,data\processed\vid_000118_13__walking_down_indoor_hall_disgust\meta.json,disgust,,0
vid_000119_28__podium_speech_happy,data\processed\vid_000119_28__podium_speech_happy\au_sequence.npy,data\processed\vid_000119_28__podium_speech_happy\meta.json,happy,,0
vid_000120_23__podium_speech_happy,data\processed\vid_000120_23__podium_speech_happy\au_sequence.npy,data\processed\vid_000120_23__podium_speech_happy\meta.json,happy,,0
vid_000121_03__walking_down_indoor_hall_disgust,data\processed\vid_000121_03__walking_down_indoor_hall_disgust\au_sequence.npy,data\processed\vid_000121_03__walking_down_indoor_hall_disgust\meta.json,disgust,,0
vid_000122_16__outside_talking_pan_laughing,data\processed\vid_000122_16__outside_talking_pan_laughing\au_sequence.npy,data\processed\vid_000122_16__outside_talking_pan_laughing\meta.json,,,0
vid_000124_05__outside_talking_pan_laughing,data\processed\vid_000124_05__outside_talking_pan_laughing\au_sequence.npy,data\processed\vid_000124_05__outside_talking_pan_laughing\meta.json,,,0
vid_000125_12__walking_down_street_outside_angry,data\processed\vid_000125_12__walking_down_street_outside_angry\au_sequence.npy,data\processed\vid_000125_12__walking_down_street_outside_angry\meta.json,angry,,0
vid_000126_19__kitchen_still,data\processed\vid_000126_19__kitchen_still\au_sequence.npy,data\processed\vid_000126_19__kitchen_still\meta.json,,,0
vid_000127_21__walk_down_hall_angry,data\processed\vid_000127_21__walk_down_hall_angry\au_sequence.npy,data\processed\vid_000127_21__walk_down_hall_angry\meta.json,angry,,0
vid_000128_24__talking_angry_couch,data\processed\vid_000128_24__talking_angry_couch\au_sequence.npy,data\processed\vid_000128_24__talking_angry_couch\meta.json,angry,,0
vid_000129_12__walk_down_hall_angry,data\processed\vid_000129_12__walk_down_hall_angry\au_sequence.npy,data\processed\vid_000129_12__walk_down_hall_angry\meta.json,angry,,0
vid_000130_11__walking_down_street_outside_angry,data\processed\vid_000130_11__walking_down_street_outside_angry\au_sequence.npy,data\processed\vid_000130_11__walking_down_street_outside_angry\meta.json,angry,,0
vid_000131_17__walking_down_indoor_hall_disgust,data\processed\vid_000131_17__walking_down_indoor_hall_disgust\au_sequence.npy,data\processed\vid_000131_17__walking_down_indoor_hall_disgust\meta.json,disgust,,0
vid_000132_24__kitchen_still,data\processed\vid_000132_24__kitchen_still\au_sequence.npy,data\processed\vid_000132_24__kitchen_still\meta.json,,,0
vid_000133_08__walking_outside_cafe_disgusted,data\processed\vid_000133_08__walking_outside_cafe_disgusted\au_sequence.npy,data\processed\vid_000133_08__walking_outside_cafe_disgusted\meta.json,disgust,,0
vid_000134_21__talking_angry_couch,data\processed\vid_000134_21__talking_angry_couch\au_sequence.npy,data\processed\vid_000134_21__talking_angry_couch\meta.json,angry,,0
vid_000135_01__walking_and_outside_surprised,data\processed\vid_000135_01__walking_and_outside_surprised\au_sequence.npy,data\processed\vid_000135_01__walking_and_outside_surprised\meta.json,surprise,,0
vid_000136_22__walking_down_street_outside_angry,data\processed\vid_000136_22__walking_down_street_outside_angry\au_sequence.npy,data\processed\vid_000136_22__walking_down_street_outside_angry\meta.json,angry,,0
vid_000137_26__walk_down_hall_angry,data\processed\vid_000137_26__walk_down_hall_angry\au_sequence.npy,data\processed\vid_000137_26__walk_down_hall_angry\meta.json,angry,,0
vid_000138_17__talking_angry_couch,data\processed\vid_000138_17__talking_angry_couch\au_sequence.npy,data\processed\vid_000138_17__talking_angry_couch\meta.json,angry,,0
vid_000139_27__talking_against_wall,data\processed\vid_000139_27__talking_against_wall\au_sequence.npy,data\processed\vid_000139_27__talking_against_wall\meta.json,,,0
vid_000140_14__kitchen_still,data\processed\vid_000140_14__kitchen_still\au_sequence.npy,data\processed\vid_000140_14__kitchen_still\meta.json,,,0
vid_000141_13__walking_outside_cafe_disgusted,data\processed\vid_000141_13__walking_outside_cafe_disgusted\au_sequence.npy,data\processed\vid_000141_13__walking_outside_cafe_disgusted\meta.json,disgust,,0
vid_000142_18__outside_talking_pan_laughing,data\processed\vid_000142_18__outside_talking_pan_laughing\au_sequence.npy,data\processed\vid_000142_18__outside_talking_pan_laughing\meta.json,,,0
vid_000143_28__walking_down_street_outside_angry,data\processed\vid_000143_28__walking_down_street_outside_angry\au_sequence.npy,data\processed\vid_000143_28__walking_down_street_outside_angry\meta.json,angry,,0
vid_000144_08__kitchen_pan,data\processed\vid_000144_08__kitchen_pan\au_sequence.npy,data\processed\vid_000144_08__kitchen_pan\meta.json,,,0
vid_000145_17__kitchen_still,data\processed\vid_000145_17__kitchen_still\au_sequence.npy,data\processed\vid_000145_17__kitchen_still\meta.json,,,0
vid_000146_04__kitchen_still,data\processed\vid_000146_04__kitchen_still\au_sequence.npy,data\processed\vid_000146_04__kitchen_still\meta.json,,,0
vid_000147_02__walking_outside_cafe_disgusted,data\processed\vid_000147_02__walking_outside_cafe_disgusted\au_sequence.npy,data\processed\vid_000147_02__walking_outside_cafe_disgusted\meta.json,disgust,,0
vid_000148_04__talking_against_wall,data\processed\vid_000148_04__talking_against_wall\au_sequence.npy,data\processed\vid_000148_04__talking_against_wall\meta.json,,,0
vid_000149_11__secret_conversation,data\processed\vid_000149_11__secret_conversation\au_sequence.npy,data\processed\vid_000149_11__secret_conversation\meta.json,,,0
vid_000150_18__kitchen_still,data\processed\vid_000150_18__kitchen_still\au_sequence.npy,data\processed\vid_000150_18__kitchen_still\meta.json,,,0
vid_000151_03__kitchen_still,data\processed\vid_000151_03__kitchen_still\au_sequence.npy,data\processed\vid_000151_03__kitchen_still\meta.json,,,0
vid_000152_01__hugging_happy,data\processed\vid_000152_01__hugging_happy\au_sequence.npy,data\processed\vid_000152_01__hugging_happy\meta.json,happy,,0
vid_000153_19__outside_talking_still_laughing,data\processed\vid_000153_19__outside_talking_still_laughing\au_sequence.npy,data\processed\vid_000153_19__outside_talking_still_laughing\meta.json,,,0
vid_000154_06__walking_down_indoor_hall_disgust,data\processed\vid_000154_06__walking_down_indoor_hall_disgust\au_sequence.npy,data\processed\vid_000154_06__walking_down_indoor_hall_disgust\meta.json,disgust,,0
vid_000155_11__walk_down_hall_angry,data\processed\vid_000155_11__walk_down_hall_angry\au_sequence.npy,data\processed\vid_000155_11__walk_down_hall_angry\meta.json,angry,,0
vid_000156_15__walking_outside_cafe_disgusted,data\processed\vid_000156_15__walking_outside_cafe_disgusted\au_sequence.npy,data\processed\vid_000156_15__walking_outside_cafe_disgusted\meta.json,disgust,,0
vid_000157_02__walk_down_hall_angry,data\processed\vid_000157_02__walk_down_hall_angry\au_sequence.npy,data\processed\vid_000157_02__walk_down_hall_angry\meta.json,angry,,0
vid_000158_22__kitchen_pan,data\processed\vid_000158_22__kitchen_pan\au_sequence.npy,data\processed\vid_000158_22__kitchen_pan\meta.json,,,0
vid_000159_01__walking_down_indoor_hall_disgust,data\processed\vid_000159_01__walking_down_indoor_hall_disgust\au_sequence.npy,data\processed\vid_000159_01__walking_down_indoor_hall_disgust\meta.json,disgust,,0
vid_000160_15__walking_down_indoor_hall_disgust,data\processed\vid_000160_15__walking_down_indoor_hall_disgust\au_sequence.npy,data\processed\vid_000160_15__walking_down_indoor_hall_disgust\meta.json,disgust,,0
vid_000161_22__outside_talking_still_laughing,data\processed\vid_000161_22__outside_talking_still_laughing\au_sequence.npy,data\processed\vid_000161_22__outside_talking_still_laughing\meta.json,,,0
vid_000162_08__podium_speech_happy,data\processed\vid_000162_08__podium_speech_happy\au_sequence.npy,data\processed\vid_000162_08__podium_speech_happy\meta.json,happy,,0
vid_000163_01__kitchen_pan,data\processed\vid_000163_01__kitchen_pan\au_sequence.npy,data\processed\vid_000163_01__kitchen_pan\meta.json,,,0
vid_000164_05__exit_phone_room,data\processed\vid_000164_05__exit_phone_room\au_sequence.npy,data\processed\vid_000164_05__exit_phone_room\meta.json,,,0
vid_000165_28__kitchen_pan,data\processed\vid_000165_28__kitchen_pan\au_sequence.npy,data\processed\vid_000165_28__kitchen_pan\meta.json,,,0
vid_000166_01__exit_phone_room,data\processed\vid_000166_01__exit_phone_room\au_sequence.npy,data\processed\vid_000166_01__exit_phone_room\meta.json,,,0
